text,label
Is good,affirm
Oh ok sir,affirm
Yes I am the one,affirm
I would say so,affirm
Okay,affirm
"Yes, OK",affirm
Hmmmm,affirm
I would say yes,affirm
Hmmmm,affirm
sure,affirm
This is it,affirm
Hmmmm,affirm
correct,affirm
Ok OK,affirm
Yes Yes,affirm
"Yes, OK",affirm
Cool,affirm
Yes,affirm
Oh ok sir,affirm
"Yes, OK",affirm
Here,affirm
Ok OK,affirm
Sure,affirm
Fine,affirm
Yes,affirm
Oh ok sir,affirm
OK then,affirm
Okay,affirm
O ye,affirm
You are right,affirm
exactly,affirm
Yes,affirm
Cool,affirm
Yes,affirm
Awesome,affirm
correct,affirm
Yes,affirm
Yes,affirm
Okay,affirm
Yes,affirm
Okay,affirm
हां हां,affirm
ठीक है,affirm
अच्छा ठीक है सर,affirm
हां मैं ही हूं,affirm
हां ऐसे ही,affirm
ओके,affirm
हां ठीक है,affirm
हम्म,affirm
हां कहूंगा मैं,affirm
हम्म,affirm
पक्का,affirm
यही है,affirm
हम्म,affirm
सही,affirm
ठीक है ठीक है,affirm
हां हां,affirm
हां ओके,affirm
कूल,affirm
हां,affirm
ओ ठीक है सर,affirm
हां ओके,affirm
यही,affirm
ओके ओके,affirm
श्योर,affirm
ठीक है,affirm
हां,affirm
अच्छा ठीक है सर,affirm
ठीक है फिर,affirm
ओके,affirm
हां यही,affirm
सही हो तुम,affirm
सही में,affirm
हां,affirm
कूल,affirm
हां,affirm
बहुत बढ़िया,affirm
सही है,affirm
हां,affirm
हां,affirm
हा हा,affirm
ठीक आहे,affirm
हा ठीक आहे सर,affirm
हो मीच आहे,affirm
हा असच,affirm
ओके,affirm
हा ठीक आहे,affirm
हं,affirm
हा बोलतो मी,affirm
हम्म,affirm
पुढे बोला,affirm
नक्की,affirm
इथंच आहे,affirm
हम्म,affirm
बरोबर,affirm
ठीक आहे ठीक आहे,affirm
हा हा,affirm
हा ओके,affirm
निवांत,affirm
हा,affirm
ओ ठीक आहे सर,affirm
हा ओके,affirm
इथंच,affirm
ओके ओके,affirm
नक्की,affirm
ठीक आहे हा,affirm
हा,affirm
अच्छा ठीक आहे सर,affirm
मग ठीक आहे,affirm
ओके,affirm
हा,affirm
बरोबर आहात तुमि,affirm
बरोबर ना,affirm
हा,affirm
कूल,affirm
हा,affirm
खूपच उत्तम,affirm
आहे बरोबर,affirm
हा,affirm
हा,affirm
ಚೆನ್ನಾಗಿದೆ,affirm
ಒಹ್ ಸರಿ ಸರ್,affirm
ಹೌದು ನಾನೊಬ್ಬನೇ,affirm
ನಾನು ಹಾಗೆ ಹೇಳುತ್ತೇನೆ,affirm
ಸರಿ,affirm
ಹೌದು ಸರಿ,affirm
ಹ್ಮ್ಮ್ಮ್,affirm
ನಾನು ಹೌದು ಎಂದು ಹೇಳುತ್ತೇನೆ,affirm
ಹಾನ್,affirm
ಮುಂದುವರೆಯಿರಿ,affirm
ಖಚಿತ,affirm
ಇದು ಅಷ್ಟೇ,affirm
ಹ್ಮ್,affirm
ಸರಿ,affirm
ಸರಿ ಸರಿ,affirm
ಹೌದು ಹೌದು,affirm
ಹೌದು ಸರಿ,affirm
ಕೂಲ್,affirm
ಹೌದು,affirm
ಒಹ್ ಸರಿ ಮೇಡಂ,affirm
ಹೌದು ಸರಿ,affirm
ಇಲ್ಲಿ,affirm
ಸರಿ ಸರಿ,affirm
ಖಚಿತ,affirm
ಚೆನ್ನಾಗಿದೆ,affirm
ಹೌದು,affirm
ಒಹ್ ಸರಿ ಸರ್,affirm
ಸರಿ ಹಾಗಾದರೆ,affirm
ಸರಿ,affirm
ಓ ಏ,affirm
ನೀನು ಸರಿ,affirm
ಎಕ್ಸಾಕ್ಟ್ಲಿ,affirm
ಸರಿ,affirm
ಕೂಲ್,affirm
ಸರಿ,affirm
ಅದ್ಭುತ,affirm
ಸರಿ,affirm
ಹೌದು,affirm
ಹೌದು,affirm
ಸರಿ,affirm
হ্যাঁ হ্যাঁ,affirm
ঠিক আছে,affirm
আচ্ছা ঠিক আছে স্যার,affirm
হ্যাঁ আমিই সেই,affirm
"হ্যাঁ, এরকমই।",affirm
ঠিক আছে,affirm
হ্যাঁ ঠিক আছে।,affirm
হুম,affirm
"হ্যাঁ, আমি বলব।",affirm
হুম,affirm
এগিয়ে চলো।,affirm
নিশ্চিত,affirm
এটাই তো।,affirm
হুম,affirm
ঠিক,affirm
ঠিক আছে ঠিক আছে,affirm
হ্যাঁ হ্যাঁ,affirm
হ্যাঁ ঠিক আছে,affirm
শান্তি,affirm
হ্যাঁ,affirm
সেটা ঠিক আছে স্যার,affirm
হ্যাঁ ঠিক আছে,affirm
এটাই,affirm
ঠিক আছে ঠিক আছে,affirm
অবশ্যই,affirm
ঠিক আছে,affirm
হ্যাঁ,affirm
আচ্ছা ঠিক আছে স্যার,affirm
ঠিক আছে তাহলে।,affirm
ঠিক আছে।,affirm
হ্যাঁ এটাই,affirm
তুমিই ঠিক,affirm
সত্যি তো,affirm
হ্যাঁ,affirm
শান্তি,affirm
হ্যাঁ,affirm
দারুণ,affirm
ঠিক আছে,affirm
হ্যাঁ,affirm
হ্যাঁ,affirm
అది మంచిది,affirm
ఓ..! అలాగే సార్,affirm
అవును అది నేనే,affirm
నేను అదే చెప్తాను,affirm
సరే,affirm
"అవును, సరే",affirm
మ్....,affirm
నేనైతే యెస్ చెప్తాను,affirm
మ్...,affirm
కానివ్వండి,affirm
ఖచ్చితంగా,affirm
ఇంకా ఇంతే,affirm
మ్....,affirm
సరైన,affirm
సరే సరే,affirm
అవును అవును,affirm
"అవును, సరే",affirm
మంచిది,affirm
అవును,affirm
ఓ సరే సార్,affirm
"అవును, ఓకే",affirm
ఇక్కడ,affirm
సరే సరే,affirm
ఖచ్చితంగా,affirm
బాగున్నాను,affirm
అవును,affirm
ఓ సరే సార్,affirm
సరే అయితే,affirm
సరే,affirm
ఓ యే,affirm
నువ్వు చెప్పిందే నిజం,affirm
సరిగ్గా,affirm
అవును,affirm
మంచిది,affirm
అవును,affirm
అద్భుతం,affirm
సరైన,affirm
అవును,affirm
అవును,affirm
సరే,affirm
"No, I cannot",deny
Nothing,deny
"No, I have changed my mind.",deny
"No, I do not want that.",deny
I can not,deny
No,deny
"No, I do not want that.",deny
No,deny
Nah,deny
Nothing,deny
I do not know,deny
Nothing,deny
I do not know,deny
forget it,deny
I do not remember,deny
Not at all,deny
Nah,deny
no chance,deny
No,deny
No question,deny
not possible,deny
I can not,deny
No No,deny
No wait,deny
No,deny
Oh no baby,deny
No,deny
No,deny
I do not know,deny
no chance,deny
No,deny
forget it,deny
I do not want to,deny
no,deny
not needed,deny
I do not want to,deny
Oh don't want to know,deny
Nothing to know,deny
I have not ordered,deny
I don't want it,deny
और कुछ नहीं,deny
"नहीं, मैंने अपना विचार बदल दिया है",deny
"नहीं, मैं ऐसा नहीं चाहता",deny
मैं नहीं कर सकता,deny
ना,deny
"नहीं, मैं ऐसा नहीं चाहता",deny
नाय,deny
नाह,deny
और कुछ नहीं,deny
मुझे नहीं पता,deny
और कुछ नहीं,deny
मुझे नहीं पता,deny
रहने भी दो,deny
मुझे याद नहीं है,deny
हर्गिज नहीं,deny
नाह,deny
कोई मौका नहीं,deny
नहीं,deny
सवाल ही नहीं,deny
संभव नहीं,deny
मैं नहीं कर सकता,deny
ना ना,deny
इंतज़ार नही.,deny
नहीं,deny
अरे नहीं बाबा,deny
नहीं,deny
ना,deny
मुझे नहीं पता,deny
कोई मौका नहीं,deny
ना,deny
रहने भी दो,deny
मैं नहीं करना चाहता,deny
नही,deny
ना ना,deny
मैं नहीं करना चाहता,deny
अरे नहीं जानना है,deny
कुछ नहीं जानना है,deny
मैंने नहीं दिया है,deny
मैं यह नहीं चाहता,deny
ज़रूरत नहीं है,deny
आणि काय नाही,deny
नाही मी माझा विचार बदललाय,deny
नाही मी असं म्हणत नाही,deny
मी नाही करू शकत,deny
नाही,deny
नाही माझं असं म्हणणं न्हवतं,deny
नाय,deny
ना,deny
आणि काय नाही,deny
मला माहित नाही,deny
आणि काही नाही,deny
नाही माहित मला,deny
राहूदे आता,deny
मला आठवत नाही,deny
अजिबात नाही,deny
नाही,deny
दुसरा मार्गच नाही,deny
नाही,deny
प्रश्नच नाही,deny
शंकाच नाही,deny
मी नाही करू शकत,deny
नाही नाही,deny
वेळच नाही,deny
नाही,deny
अरे नाही बाबा,deny
नाही,deny
ना,deny
मला नाही माहित,deny
ऑपशनच नाही,deny
नाही,deny
राहूदे आता,deny
मी नाही करणार,deny
नाही,deny
ना ना,deny
करणार नाही मी,deny
मला जाणून घ्यायचंच नाहीये,deny
काहीच जाणून घ्यायचं नाही आहे मला,deny
मी नाही दिले,deny
दुसरा पर्याय नाही,deny
नाही म्हणजे नाही,deny
ಒಮ್ಮೆ ಹೇಳ್ಳಿದ್ರೆ ಅರ್ಥವಾಗಲ್ವ ಹೇಳ್ಳೋಕಾಗಲ್ಲ,deny
"ಹೇಳೋಕಾಗಲ್ಲ ,ಅರ್ಥವಾಗಲ್ವ",deny
ನನಗೆ ಹೇಳೋಕಾಗಲ್ಲ ನೀವು ಮತ್ತೆ ಮತ್ತೆ ಕೇಳಬೇಡಿ,deny
"ನಾನು ಹೇಳೋಕಾಗಲ್ಲ ,ಹಾಗಾಗಿ ಕೇಳಬೇಡ",deny
"ಹೇಳೋಕಾಗಲ್ಲ ನನಗೆ, ನೀವು ಯಾಕೆ ಕೇಳುತ್ತಿದ್ದೀರಿ",deny
ಹೇಳೋಕಾಗಲ್ಲ ನನಗೆ,deny
ಹೇಳೋಕಾಗಲಾ ಮೇಡಂ,deny
ಹೇಳೋಕಾಗಲ್ಲ,deny
ಇಲ್ಲ ಈಗ ಆಗಲ್ಲ,deny
ಇಲ್ಲ,deny
ಇಲ್ಲ ಆಗಲ್ಲ,deny
ಇಲ್ಲ ಆಗುದಿಲ್ಲ,deny
ಇಲ್ಲ ಮೇಡಂ,deny
ಏನಿಲ್ಲ,deny
ಏನು ಇಲ್ಲ,deny
ಇಲ್ಲ ನಾನು ಮನಸು ಚೇಂಜ್ ಮಾಡಿಲ್ಲ,deny
ಇಲ್ಲ ನನಗೆ ಬೇಡ ಅದು,deny
ನಂಗೆ ಆಗಲ್ಲ,deny
ನೋ,deny
ನನಗೆ ಗುತಿಲ್ಲ,deny
ಮರೆತು ಬಿಡಿ,deny
ನನಗೆ ನೆನಪಿಲ್ಲ,deny
ಸಾಧ್ಯವೇ ಇಲ್ಲ,deny
ಚಾನ್ಸೆ ಇಲ್ಲ,deny
ಇಲ್ಲ ತೆಡೆಯಿರಿ,deny
ನನಗೆ ಮನಸಿಲ್ಲ,deny
ನಾನು ಆರ್ಡರ್ ಮಾಡಿಲ್ಲ,deny
ಇಲ್ಲ ಈಗ ಅಲ್ಲ,deny
ಈಗ ಆಗಲ್ಲ ಪ್ಲೀಸ್,deny
ಈಗ ಇಲ್ಲ ಪ್ಲೀಸ್,deny
ಈಗ ಅಲ್ಲ ಮತ್ತೆ ನೋಡೋಣ,deny
ಈಗ ಆಗಲ್ಲ ನನಗೆ,deny
ಅದು ಆಗಲ್ಲ,deny
ಅದು ಸಾಧ್ಯವಿಲ್ಲ ಸಾರೀ,deny
ಮತ್ತೆ ಏನು ಇಲ್ಲ,deny
ಇಲ್ವೇ ಇಲ್ಲ,deny
ನಿಜವಾಗಲೂ ಇಲ್ಲ,deny
ನಾ ನಾ,deny
ನೋ ನೋ,deny
ನನಗೆ ನೆನಪಿಲ್ಲ,deny
"లేదు, నా వల్ల కాదు",deny
ఏమిలేదు,deny
"లేదు, నేను నా మనసు మార్చుకున్నాను",deny
"లేదు, నాకు అది అవసరం లేదు",deny
నా వల్ల కాదు,deny
లేదు,deny
"లేదు, నాకు అది అవసరం లేదు",deny
లేదు,deny
లేదు,deny
ఏమీలేదు,deny
నాకు తెలియదు,deny
ఏమీలేదు,deny
నాకు తెలియదు,deny
మర్చిపో,deny
నాకు గుర్తులేదు,deny
అస్సలు కుదరదు,deny
లేదు,deny
వీల్లేదు,deny
లేదు,deny
ప్రశ్న లేదు,deny
సాధ్యం కాదు,deny
నా వల్ల కాదు,deny
లేదు లేదు,deny
లేదు ఆగు,deny
లేదు,deny
ఓ లేదు తల్లి,deny
లేదు,deny
లేదు,deny
నాకు తెలియదు,deny
వీల్లేదు,deny
లేదు,deny
అది మర్చిపో,deny
నాకు అది అవసరం లేదు,deny
లేదు,deny
అవసరం లేదు,deny
నాకు చేయాలని లేదు,deny
ఓ తెలుసుకోవాలని లేదు,deny
తెలుసుకోవడానికి ఏమి లేదు,deny
నేను ఆర్డర్ చేయలేదు,deny
నాకు అది అవసరం లేదు,deny
बाय बाय,bye
ठीक है बाय,bye
टाटा,bye
ठीक हे अलविदा,bye
टाटा,bye
जाना होगा,bye
बा बाय,bye
बाई,bye
ध्यान रखें,bye
थैंक्स बाय,bye
अलविदा अलविदा अलविदा,bye
सीया!,bye
बाए,bye
बा बाय,bye
ठीक है बाय,bye
बाय,bye
बाय,bye
चलो बाय,bye
बाय,bye
अलविदा अलविदा अलविदा,bye
बाय,bye
ठीक है बाय,bye
बाय,bye
जल्दी ही फिर मिलेंगे,bye
बा बाय,bye
फिर मिलते हैं,bye
फिर मिलते हैं,bye
बाय,bye
बाय,bye
अलविदा,bye
मुजे जाना है,bye
अलविदा,bye
फिर मिलते हैं,bye
ठीक है बाय,bye
ठीक है बाय,bye
शुक्रिया अलविदा।,bye
जाना है,bye
फिर मिलते हैं!,bye
ठीक है बाय,bye
बाय,bye
bye Bye,bye
OK Bye,bye
Bye,bye
Ok bye,bye
Bye,bye
have to go,bye
Ba bye,bye
bye,bye
Take care,bye
Thanks bye,bye
bye Bye Bye,bye
Cia,bye
Bye,bye
Ba bye,bye
OK Bye,bye
Bye,bye
Bye,bye
bye,bye
Bye,bye
very long,bye
bye Bye Bye,bye
bye,bye
Kk bye,bye
Bye,bye
You look round,bye
See you again soon,bye
Ba bye,bye
See you later,bye
See you later,bye
Bye,bye
Bye,bye
very long,bye
Kk bye,bye
I have to go,bye
Bye,bye
See you later,bye
Ok bye,bye
Ok bye,bye
goodbye thanks,bye
have to go,bye
बाय बाय,bye
ठीक आहे बाय,bye
टाटा,bye
ठीक आहे अलविदा,bye
टाटा,bye
जावं लागेल,bye
हा टाटा,bye
हा बाय,bye
काळजी घ्या,bye
थँक्स जातो आता,bye
ठेवतो आता,bye
सी यु,bye
बाय,bye
ब बाय,bye
ठीक आहे बाय,bye
बाय,bye
टाटा हा,bye
चला टाटा,bye
चला बाय,bye
बस आता,bye
अलविदा दोस्त,bye
बाय,bye
ठीक आहे बाय आता,bye
बाय,bye
हा आतापुरतं बाय,bye
हा परत भेटू,bye
भेटू लवकर,bye
परत भेटू,bye
परत केव्हातरी भेटू,bye
बाय,bye
बाय,bye
गुड बाय,bye
अलविदा,bye
मला जायचं आहे,bye
अलविदा मित्रा,bye
परत भेटू,bye
ठीक आहे बाय,bye
ठीक आहे जातो,bye
शुक्रिया अलविदा,bye
जाणार आहे,bye
ಸರಿ ಮತ್ತೆ ಸಿಗೋಣ,bye
ಬೈ ಬೈ,bye
ಸರಿ ಮತ್ತೆ ಸಿಗೋಣ,bye
ಬೈ,bye
ಸರಿ ಮತ್ತೆ ಸಿಗೋಣ,bye
ಬೈ,bye
ಹೋಗಬೇಕು,bye
ಬಾ ಬೈ,bye
ಬೈ,bye
ಜಾಗ್ರತೆ,bye
ಧನ್ಯವಾದಗಳು ಬೈ,bye
ಬೈ ಬೈ ಬೈ,bye
ಸಿಯಾ,bye
ಬೈ,bye
ಬೈ,bye
ಬಾ ಬೈ,bye
ಸರಿ ಮತ್ತೆ ಸಿಗೋಣ,bye
ಬಹಳ ದಿನಗಳಾಗಿವೆ,bye
ಬೈ,bye
ಬೈ,bye
ಬೈ,bye
ಬೈ,bye
ಬಹಳ ದಿನಗಳಾಗಿವೆ,bye
ಬೈ ಬೈ ಬೈ,bye
ಬೈ,bye
ಬೈ,bye
ಓಕೆ ಬೈ,bye
ಶೀಘ್ರದಲ್ಲೇ ಮತ್ತೆ ಭೇಟಿಯಾಗುತ್ತೇನೆ,bye
ಬೈ,bye
ನಿಮ್ಮನ್ನು ನೋಡಿ,bye
ಶೀಘ್ರದಲ್ಲೇ ಮತ್ತೆ ಭೇಟಿಯಾಗುತ್ತೇನೆ,bye
ಬಾ ಬೈ,bye
ಮತ್ತೆ ಸಿಗೋಣ,bye
ಮತ್ತೆ ಸಿಗೋಣ,bye
ಬೈ,bye
ಧನ್ಯವಾದಗಳು ವಿದಾಯ.,bye
ನಾನು ಹೊಗಬೇಕು,bye
ಬೈ,bye
ಧನ್ಯವಾದಗಳು ವಿದಾಯ.,bye
ಬಹಳ ಉದ್ದವಾಗಿದೆ,bye
বিদায়,bye
ঠিক আছে বিদায়,bye
টাটা,bye
ঠিক আছে বিদায়,bye
টাটা,bye
যেতে হবে,bye
বা বাই,bye
বাই,bye
খেয়াল রেখো,bye
ধন্যবাদ বিদায়,bye
বিদায় বিদায় বিদায়,bye
সিয়া!,bye
বাই,bye
বা বাই,bye
ঠিক আছে বিদায়,bye
বিদায়,bye
বিদায়,bye
ঠিক আছে বিদায়,bye
বিদায়,bye
খুব দীর্ঘ,bye
বিদায় বিদায় বিদায়,bye
বিদায়,bye
ঠিক আছে বিদায়,bye
বিদায়,bye
শীঘ্রই আবার দেখা হবে,bye
বা বাই,bye
আবার দেখা হবে,bye
আবার দেখা হবে,bye
বিদায়,bye
বিদায়,bye
খুব দীর্ঘ,bye
বিদায়,bye
আমাকে যেতে হবে,bye
বিদায়,bye
দেখা হবে,bye
ঠিক আছে বিদায়,bye
ঠিক আছে বিদায়,bye
"ধন্যবাদ, বিদায়।",bye
যেতেে হবে,bye
আবার দেখা হবে,bye
వీడ్కోలు,bye
సరే ఇక ఉంటా,bye
ఇక ఉంటా,bye
సరే ఇక ఉంటా,bye
ఇక ఉంటా,bye
వెళ్ళాలి,bye
బా బై,bye
ఇక ఉంటా,bye
జాగ్రత్త,bye
ధన్యవాదాలు బై,bye
బై బై బై,bye
సిఐఎ,bye
ఇక ఉంటా,bye
బా బై,bye
సరే ఇక ఉంటా,bye
ఇక ఉంటా,bye
ఇక ఉంటా,bye
ఇక ఉంటా,bye
ఇక ఉంటా,bye
చాలా పొడవుగా,bye
బై బై బై,bye
ఇక ఉంటా,bye
కెకె బై,bye
ఇక ఉంటా,bye
మీరు గుండ్రంగా ఉన్నారు,bye
త్వరలో మిమ్మల్ని మళ్లీ చూస్తాను,bye
బా బై,bye
తరువాత కలుస్తాను,bye
తరువాత కలుస్తాను,bye
ఇక ఉంటా,bye
ఇక ఉంటా,bye
చాలా పొడవుగా,bye
కెకె బై,bye
నేను వెళ్ళాలి,bye
ఇక ఉంటా,bye
తరువాత కలుస్తాను,bye
సరే ఇక ఉంటా,bye
సరే ఇక ఉంటా,bye
వీడ్కోలు ధన్యవాదాలు,bye
వెళ్ళాలి,bye
আর কিছু না,deny
"না, আমি আমার মত পরিবর্তন করেছি",deny
"না, আমি এটা চাই না",deny
আমি করতে পারবো না,deny
না,deny
"না, আমি এরকম চাই না",deny
না,deny
নাহ্‌,deny
আর কিছু না,deny
আমি জানি না,deny
আর কিছু না,deny
আমি জানি না,deny
ছেড়ে দাও,deny
আমার মনে নেই,deny
কক্ষনো নয়,deny
নাহ্‌,deny
কোনো সুযোগ নেই,deny
না,deny
কোন প্রশ্নই নেই,deny
অসম্ভব,deny
আমি করতে পারব না,deny
না না,deny
অপেক্ষা নয়,deny
না,deny
আর না বাবা,deny
না,deny
না,deny
আমি জানি না,deny
কোনো সুযোগ নেই,deny
না,deny
ছেড়ে দাও,deny
আমি করতে চাই না,deny
না,deny
না না,deny
আমি করতে চাই না,deny
আরে জানতে চাই না,deny
কিছুই জানতে চাই না,deny
আমি দিইনি,deny
আমি তো এটা চাই না,deny
কোনো প্রয়োজন নেই,deny
How are you,greet
Hello,greet
How was your day,greet
Yo,greet
good afternoon,greet
Hey dude,greet
Hola,greet
Hi how was your day,greet
Hello friend,greet
how,greet
Hi what's up,greet
Hello,greet
Yo What is happening,greet
Hey How is it going,greet
good morning,greet
How are you,greet
Hello friend top of the morning to you.,greet
Hello,greet
Hello. How are you,greet
Hi,greet
good day How is it going,greet
How is it going,greet
Hello good morning.,greet
how are you,greet
how are you brother,greet
Haiye,greet
What's wrong with you,greet
how are you,greet
hey hi,greet
Tell me more,greet
What is happening,greet
how are you brother,greet
Hi,greet
"Hello, my friend",greet
how are you today,greet
Hey how are you,greet
How is your day going,greet
Hello how you doing,greet
how are you,greet
Hi,greet
कैसे है आप,greet
हेलो,greet
आपका दिन कैैसा रहा,greet
यो,greet
हाय,greet
हे यार,greet
होला,greet
"हाय, आपका दिन कैसा रहा",greet
हैलो दोस्त!,greet
कैसे!,greet
हाय क्या हो रहा है?,greet
हेलो,greet
यो क्या हो रहा है,greet
अरे कैसा चल रहा है,greet
शुभ प्रभात,greet
आप कैसे हैं,greet
हैलो दोस्त तुम्हारे लिए सुबह अत्यंत शुभ हो,greet
हेलो,greet
हेलो कैसे हो,greet
नमस्कार,greet
अच्छा दिन! कैसा चल रहा है,greet
कैसा चल रहा है,greet
नमस्ते! शुभ प्रभात.,greet
आप कैसे हो,greet
क्या हाल है भाई,greet
हाईई,greet
तुम्हारे साथ क्या हो रहा है फेल,greet
तुम कैसे हो,greet
हाय,greet
और बता,greet
क्या हो रहा है,greet
क्या हाल है भाई,greet
हाय सारथी,greet
नमस्ते मेरे दोस्त,greet
आज आप कैसे हैं,greet
अरे! कैसे हो?,greet
तुम्हारा दिन कैसा चल रहा है,greet
हैलो आप कैसे कर रहे हैं,greet
आप कैसे हो?,greet
नमस्कार !,greet
कसा आहेस तू,greet
नमस्कार,greet
तुमचा दिवस कसा गेला,greet
हा,greet
हाय,greet
हे मित्रा,greet
होला,greet
"नमस्कार, तुमचा दिवस कसा गेला",greet
नमस्कार मित्रा,greet
कस,greet
हाय काय सुरु आहे,greet
हॅलो,greet
यो काय होत आहे,greet
अरे कसं चाललंय,greet
शुभ सकाळ,greet
तुही कसे आहेत,greet
हॅलो मित्रा तुझ्यासाठी सकाळ खुप शुभ आहे,greet
नमस्कार,greet
हॅलो कसे आहात,greet
नमस्कार,greet
छान दिवस कसा चालाय,greet
कस चाललंय,greet
नमस्ते शुभ सकाळ,greet
तुम्ही कसे आहात,greet
काय चाललंय भावा,greet
हाय,greet
तुझ्यासोबत काय होत आहे,greet
तू कसा आहेस,greet
हाई,greet
अजून काही,greet
काय सुरु आहे,greet
काय हाल आहे भाई,greet
हाय सारथी,greet
नमस्ते माझ्या मित्रा,greet
आज कसा आहेस,greet
अरे कसा आहेस,greet
तुझा दिवस कसा चाललाय,greet
हॅलो कसे आहात,greet
आपण कसे आहात,greet
नमस्कार,greet
ನೀವು ಹೇಗಿದ್ದೀರಿ,greet
ಹಲೋ,greet
ನಿಮ್ಮ ದಿನ ಹೇಗಿತ್ತು,greet
ಯೊ,greet
ಶುಭ ಮಧ್ಯಾಹ್ನ !,greet
ಹೇ ಸೊಗಸುಗಾರ,greet
ಹೋಲಾ,greet
ನಮಸ್ಕಾರ. ನಿಮ್ಮ ದಿನ ಹೇಗಿತ್ತು?,greet
ಹಲೋ ಸ್ನೇಹಿತ!,greet
ಹೇಗೆ!,greet
ಹಾಯ್ ಏನಿದೆ?,greet
ಹಲೋ,greet
ಯೊ! ಏನ್ ಸಮಾಚಾರ ?,greet
ಹೇ! ಎಲ್ಲ ಹೀಗಿದೆ ?,greet
ಶುಭೋದಯ,greet
ನೀವು ಹೇಗಿದ್ದೀರಿ,greet
ಹಲೋ ಸ್ನೇಹಿತ! ಶುಭ ಮುಂಜಾನೆ.,greet
ಹಲೋ,greet
ಹಲೋ. ನೀವು ಹೇಗಿದ್ದೀರಿ,greet
ನಮಸ್ತೆ,greet
ಶುಭ ದಿನ! ಅದು ಹೇಗೆ ನಡೆಯುತ್ತಿದೆ?,greet
ಹೆಂಗೆ ನಡೀತಿದೆ,greet
ಹಲೋ! ಶುಭೋದಯ.,greet
ನೀವು ಹೇಗಿದ್ದೀರಿ?,greet
ಹೇಗಿದ್ದೀರಿ ಸಹೋದರ?,greet
ಹೈ,greet
ಏನಾಗಿದೆ ನಿನಗೆ?,greet
ನೀವು ಹೇಗಿದ್ದೀರಿ,greet
ಅಯ್ಯೋ,greet
ನನಗೆ ಇನ್ನಷ್ಟು ಹೇಳು,greet
ಏನಾಗುತ್ತಿದೆ ?,greet
ಹೇಗಿದ್ದೀರಿ ಸಹೋದರ?,greet
ಹಾಯ್ ರಥ,greet
ಹಲೋ ನನ್ನ ಸ್ನೇಹಿತನೇ,greet
ಇಂದು ನೀವು ಹೇಗಿದ್ದೀರಿ?,greet
ಹೇ! ನೀವು ಹೇಗಿದ್ದೀರಿ?,greet
ನಿನ್ನ ದಿನ ಹೇಗೆ ಸಾಗುತ್ತಿದೆ,greet
ಹಲೋ ನೀವು ಹೇಗೆ ಮಾಡುತ್ತಿದ್ದೀರಿ,greet
ನೀವು ಹೇಗಿದ್ದೀರಿ?,greet
ನಮಸ್ತೆ !,greet
আপনি কেমন আছেন,greet
হ্যালো,greet
আপনার দিনটি কেমন গেল,greet
ইয়ো,greet
হাই,greet
হাই বাডি,greet
হোলা,greet
"হাই, আপনার দিনটি কেমন ছিল?",greet
হ্যালো বন্ধু!,greet
কীভাবে!,greet
হাই কী হচ্ছে?,greet
হ্যালো,greet
এটা কি হচ্ছে,greet
আরে কেমন চলছে,greet
সুপ্রভাত,greet
আপনি কেমন আছেন,greet
হ্যালো বন্ধু সকালে তোমার জন্য অত্যন্ত শুভ হোক,greet
হ্যালো,greet
হ্যালো কেমন আছ,greet
নমস্কার,greet
সুন্দর দিন! কেমন চলছে,greet
কেমন চলছে,greet
নমস্কার! সুপ্রভাত।,greet
তুমি কেমন আছো,greet
কী খবর ভাই,greet
হাইই,greet
তোমার সঙ্গে কী হয়েছে?,greet
তুমি কেমন আছ,greet
হাই,greet
আর বলুন,greet
কী চলছে,greet
কী ব্যাপার ভাই,greet
হাই সারথি,greet
নমস্কার আমার বন্ধু,greet
আজকে আপনি কেমন আছেন,greet
আরে! কেমন আছ?,greet
